Mae,Turma,Código,Nome da Disciplina,CH,TEO,Professor,DiaSemana,Turno,Tipo
DS3P,DS3P12 / DS3Q12 ,58D2,Ux E ui Design,60,30,Graziella,Sex,1º,T
DS3P,DS3P12 / DS3Q12 ,58D2,Ux E ui Design,60,30,Graziella,Sex,2º,P
DS3P,DS3P12 / DS3Q12 ,E521,Estudos Disciplinares,,,*,Pré,,EAD
DS3P,DS3P12 / DS3Q12 ,45B5,Proj Inte Multidisciplinar Iii,,,*,Pré,,EAD
DS3P,DS3P12 / DS3Q12 ,D17G,"Comunic, Lider E Negociacao ",,,*,Pré,,EAD
DS3P,DS3P12 / DS3Q12 ,D54G,Lingua Brasil Sinais - Libras,,,*,Pré,,EAD
DS3P,DS3P12 / DS3Q12 ,D07G,Machine Learning E Analise Dad,,,*,Pré,,EAD
# >>>>>>>>>>DS3 TURMA 2 (NOITE) <<<<<<<<<<,,,,,,,,,
DS3R,DS3R12 / DS2P12,58D1,Desenvolvimento Web Responsivo,60,30,Elisa,Ter,1º,T
DS3R,DS3R12 / DS2P12,58D1,Desenvolvimento Web Responsivo,60,30,Elisa,Ter,2º,P
DS3R,DS3R12 / DS2P12,57D7,Eng Software Agil Aplicada,60,30,Graziella,Qua,1º,T
DS3R,DS3R12 / DS2P12,57D7,Eng Software Agil Aplicada,60,30,Graziella,Qua,2º,P
DS3R,DS3R12 / DS2P12,57D8,Model Banco de Dados E Nosql,60,30,Raphael,Seg,1º,T
DS3R,DS3R12 / DS2P12,57D8,Model Banco de Dados E Nosql,60,30,Raphael,Seg,2º,P
DS3R,DS3R12 / DS2P12,57D9,Prog Orient A Objetos Com c sharp,60,30,Kelly,Qui,1º,T
DS3R,DS3R12 / DS2P12,57D9,Prog Orient A Objetos Com c sharp,60,30,Kelly,Qui,2º,P
DS3R,DS3R12 / DS2P12,58D2,Ux E ui Design,60,30,Graziella,Sex,1º,T
DS3R,DS3R12 / DS2P12,58D2,Ux E ui Design,60,30,Graziella,Sex,2º,P
DS3R,DS3R12 / DS2P12,E521,Estudos Disciplinares,,,*,Pré,,EAD
DS3R,DS3R12 / DS2P12,45B5,Proj Inte Multidisciplinar Iii,,,*,Pré,,EAD
DS3R,DS3R12 / DS2P12,D17G,"Comunic, Lider E Negociacao ",,,*,Pré,,EAD
DS3R,DS3R12 / DS2P12,D54G,Lingua Brasil Sinais - Libras,,,*,Pré,,EAD
DS3R,DS3R12 / DS2P12,D07G,Machine Learning E Analise Dad,,,*,Pré,,EAD
# >>>>>>>>>>DS4P12 /  TI4P12 (NOITE) <<<<<<<<<<,,,,,,,,,
DS4,DS4P12 / TI4P12,68C6,Lógica,,,Luiz,Qui,1º,T
DS4,DS4P12 / TI4P12,J554,Organizacao de Computadores,,,Luciano,Seg,1º,T
DS4,DS4P12 / TI4P12,J39B,Princ de Sist de Informacao,,,Ernesto,Terça,1º,T
DS4,DS4P12 / TI4P12,68C6,Lógica,,,Luiz,Qui,2º,T
DS4,DS4P12 / TI4P12,J554,Organizacao de Computadores,,,Luciano,Seg,2º,T
DS4,DS4P12 / TI4P12,J39B,Princ de Sist de Informacao,,,Ernesto,Terça,2º,T
DS4,DS4P12 / TI4P12,20D5,Estudos Disciplinares,,,*,Pré,,EAD
DS4,DS4P12 / TI4P12,45B3,Proj Integ Multidisciplinar I,,,*,Pré,,EAD
DS4,DS4P12 / TI4P12,D977,Comunicacao Aplicada,,,*,Pré,,EAD
DS4,DS4P12 / TI4P12,D987,Desenvolvimento Sustentavel,,,*,Pré,,EAD
DS4,DS4P12 / TI4P12,D74G,Direitos Humanos,,,*,Pré,,EAD
DS4,DS4P12 / TI4P12,D79B,Estatistica,,,*,Pré,,EAD
DS4,DS4P12 / TI4P12,D93G,Fund de Sistemas Operacionais,,,*,Pré,,EAD
DS4,DS4P12 / TI4P12,26B1,Atividades Complementares,,,*,Pré,,EAD
# >>>>>>>>>> CC1A12 (MANHÃ) <<<<<<<<<<,,,,,,,,,
CC1A,CC1A12,1,FISICA PARA COMPUTACAO,30,"1,5",,,,
CC1A,CC1A12,2,PROGRAMACAO WEB RESPONSIVA,60,0,,,,
CC1A,CC1A12,3,ENGENHARIA DE REQUISITOS,30,"1,5",,,,
CC1A,CC1A12,4,INTERFACE HUMANO-COMPUTADOR,30,"1,5",,,,
CC1A,CC1A12,5,DESEN PARA DISPOSITIVOS MOVEIS,90,0,,,,
CC1A,CC1A12,6,TOPICOS DE AMBIENTE WEB,30,"1,5",,,,
CC1A,CC1A12,7,TOPICOS DE MATEMATICA APLICADA,30,"1,5",,,,
CC1A,CC1A12,8,PROJETO E DESENVOLVIMENTO 1 - CC,30,"1,5",,,,
CC1A,CC1A12,9,INTERPRETAÇÃO E PROD TEXTOS,,,*,Sex,Pré,EAD
CC1A,CC1A12,10,DIREITOS HUMANOS,,,*,Sex,Pré,EAD
CC1A,CC1A12,11,ATIVIDADE DE EXTENSÃO 1 - CC,,,*,Sex,Pré,EAD
# >>>>>>>>>> CC2A12 / CC3A12 (MANHÃ) <<<<<<<<<<,,,,,,,,,
CC3A,CC2A12 / CC3A12,76D6,Algebra Linear Para Computacao,30,30,Vinícius,Seg,1º,T
CC3A,CC2A12 / CC3A12,J56C,Programacao Orientada A Objet,90,30,Vinícius,Seg,2º,P
CC3A,CC2A12 / CC3A12,J56C,Programacao Orientada A Objet,90,30,Vinícius,Ter,1º,T
CC3A,CC2A12 / CC3A12,J56C,Programacao Orientada A Objet,90,30,Vinícius,Ter,2º,P
CC3A,CC2A12 / CC3A12,J13B,Banco de Dados,90,60,Perini,Qui,Pré,T
CC3A,CC2A12 / CC3A12,J13B,Banco de Dados,90,60,Perini,Qui,2º,T
CC3A,CC2A12 / CC3A12,J13B,Banco de Dados,90,60,Perini,Qui,1º,P
CC3A,CC2A12 / CC3A12,D74G,Direitos Humanos,,,*,Seg,Pré,EAD
CC3A,CC2A12 / CC3A12,D22C,Estatistica E Probabilidade,,,*,Ter,Pré,EAD
CC3A,CC2A12 / CC3A12,D267,Homem E Sociedade,,,*,Qua,Pré,EAD
CC3A,CC2A12 / CC3A12,D76B,Paradigmas de Linguagens,,,*,Qui,Pré,EAD
CC3A,CC2A12 / CC3A12,E542,Estudos Disciplinares,,,*,Sex,Pré,EAD
CC3A,CC2A12 / CC3A12,75D4,Atividades Praticas Supervisio,,,*,Sex,Pré,EAD
# >>>>>>>>>>DS1A (MANHÃ) <<<<<<<<<<,,,,,,,,,
